ProductCode,Product,Unit,Packaging_Qty,Cost_Price,Selling_Price,Available_Qty
Asian 9',Roller,No.,1.0,84.0,127.118,1
8',Pattra/Patti,No.,1.0,18.0,16.94915254,1
6',Pattra/Patti,No.,1.0,12.0,12.71186441,1
4',Pattra/Patti,No.,1.0,8.0,8.474576271,1
Scrapper,Scrapper,No.,1.0,22.0,33.89830508,1
Gurmala,Gurumala,No.,1.0,55.0,67.79661017,1
Palson 5',Brush,No.,1.0,120.0,127.1186441,1
Captain Gold 5',Brush,No.,1.0,130.0,135.5932203,1
Captain 5',Brush,No.,1.0,85.0,110.1694915,1
Palson 3',Brush,No.,1.0,42.0,50.84745763,1
Palson 2',Brush,No.,1.0,18.0,25.42372881,1
Jayana B Ser,Brush,No.,1.0,100.0,127.1186441,1
Amber B Set,Brush,No.,1.0,130.0,127.1186441,1
Oil Tarpene,Tarpene,No.,1.0,87.67,84.74576271,1
Oil Thinner,Thinner,No.,1.0,95.0,127.1186441,1
Birla,Putty,KG,20.0,410.0,381.3559322,1
Asian,Putty,KG,20.0,360.0,338.9830508,1
JK,Putty,KG,20.0,420.0,389.8305085,1
320,Sand paper,No.,1.0,10.95,12.71186441,1
320,Sand paper,No.,5.0,54.75,63.55932203,1
150,Sand paper,No.,1.0,10.95,12.71186441,1
150,Sand paper,No.,5.0,54.75,63.55932203,1
80,Sand paper,Mtr,1.0,10.95,12.71186441,1
100,Sand paper,No.,1.0,12.3,12.71186441,1
Wire Brush plastic,Wire Brush,No.,1.0,40.0,50.84745763,1
ACE Sparc,Teracota,Ltr,1.0,200.0,220.3389831,1
Indigo,Teracota,Ltr,1.0,240.0,237.288,1
Apex Ming red,Teracota,Ltr,1.0,330.0,338.9830508,1
Indigo Ming red,Teracota,Ltr,1.0,240.0,237.288,1
Apex Sigred,Teracota,Ltr,1.0,330.0,338.9830508,1
Apex AB15,Teracota,Ltr,1.0,330.0,338.9830508,1
Apex AB15,Teracota,Ltr,4.0,1230.0,1211.864407,1
Birla,White Cement,KG,1.0,26.0,33.89830508,1
Orange,Stainer,ML,50.0,33.81,42.37288136,1
Orange ,Stainer,ML,100.0,63.12,84.74576271,1
Fast Yellow,Stainer,ML,50.0,36.5,42.37288136,1
Fast Yellow,Stainer,ML,100.0,63.5,84.74576271,1
Black,Stainer,ML,50.0,36.5,42.37288136,1
Black,Stainer,ML,100.0,63.5,84.74576271,1
Green,Stainer,ML,50.0,33.81,42.37288136,1
Green,Stainer,ML,100.0,63.12,84.74576271,1
Red,Stainer,ML,50.0,33.81,42.37288136,1
Red,Stainer,ML,100.0,63.12,84.74576271,1
Voilet,Stainer,ML,50.0,33.81,42.37288136,1
Voilet,Stainer,ML,100.0,63.12,84.74576271,1
Blue,Stainer,ML,50.0,33.81,42.37288136,1
Blue,Stainer,ML,100.0,63.12,84.74576271,1
Yellow Oxide,Stainer,ML,50.0,33.81,42.37288136,1
Yellow Oxide,Stainer,ML,100.0,63.12,84.74576271,1
Loose,Putty,KG,1.0,18.25,25.42372881,1
Loose,Putty,KG,2.0,36.5,50.84745763,1
Loose,Putty,KG,5.0,91.25,127.1186441,1
JK,POP,KG,2.0,30.0,42.37288136,1
JK Loose,POP,KG,1.0,10.0,16.94915254,1
JK Loose,POP,KG,5.0,50.0,84.74576271,1
MaskIng 1',MaskIng Tape,No.,1.0,16.0,21.18644068,1
MaskIng 2',MaskIng Tape,No.,1.0,27.0,33.89830508,1
